comment_id,sentiment,sentiment_score
Ugyy8nPOVIowR0Gs-8N4AaABAg,neutral,0.4289469718933105
UgzfAzUc5R0sx9OlU0l4AaABAg,negative,0.954024851322174
UgxcrT8nQdIGRkH23Xl4AaABAg,negative,0.9593689441680908
UgwU4-i457t520fgAHR4AaABAg,neutral,0.6282421350479126
UgyBOdWlexfn1NY97F94AaABAg,neutral,0.6525041460990906
UgyWN6h5JHo0kuQR8ul4AaABAg,neutral,0.6084877848625183
UgyCIkuzZUbtz3ucPW54AaABAg,negative,0.8229218125343323
UgyB7-8LSl7NBv3Rj-d4AaABAg,negative,0.4704053997993469
UgyVxF6_tx111w6JK3t4AaABAg,positive,0.8840753436088562
UgxcNOK9gntSCKxS9o14AaABAg,positive,0.8350399136543274
Ugw8TYeg_kRqXjbl4s54AaABAg,positive,0.9360227584838868
UgwfbtN4PzuLVN_vljd4AaABAg,positive,0.9059762358665466
UgyfK2Vu2y8U10a3Z-N4AaABAg,positive,0.5960441827774048
Ugw5-s8xzHbfBp4iKzt4AaABAg,neutral,0.7655092477798462
Ugz08geUOP_G8dCiIIR4AaABAg,neutral,0.3760314881801605
UgxXL5-xUxFEfePRLOV4AaABAg,positive,0.7903295159339905
UgzsFANb4SSnqCTWcp14AaABAg,negative,0.5478790998458862
UgzWpYKCnjiGsRx3ffJ4AaABAg,negative,0.4502370655536651
UgxvlAOEO68G2lH2pth4AaABAg,neutral,0.7498468160629272
Ugx2qkxB8ZXwrDaZrTN4AaABAg,positive,0.9170323014259338
Ugxv0JDbf2QmZOCVFYd4AaABAg,negative,0.5987383723258972
UgxpN5aG6Jw9BAc2h8p4AaABAg,negative,0.749406635761261
UgyGP18m2dhYqrdHZXN4AaABAg,negative,0.7543606162071228
UgyhhKU4NLbxU1nsJ-x4AaABAg,neutral,0.6661792397499084
UgyDQSrD_JlnL3nPfg14AaABAg,positive,0.8667752742767334
UgylGrtlcyl9I7MocKx4AaABAg,negative,0.9557621479034424
UgyKwPcMWUUOSxLPz0l4AaABAg,negative,0.492083191871643
UgzbAG_SFsJ45VPo8RZ4AaABAg,positive,0.4738885462284088
UgwOrI5wp6d0wQtTI0x4AaABAg,negative,0.8875160217285156
UgzkiXV5wO-JpFBAs5F4AaABAg,negative,0.926350235939026
Ugx5um5IRcbVP5EeRU94AaABAg,negative,0.8984364867210388
Ugydns8E1EkKIPW47Bp4AaABAg,negative,0.5923041701316833
UgzSFtO0BUkzXAIn28R4AaABAg,negative,0.9459664225578308
Ugw8kwh1ORjdfUTMQcN4AaABAg,neutral,0.4996241629123688
UgzaWY3-7Q9VqcQYJqd4AaABAg,positive,0.8113835453987122
UgyoRZbA2stf4RZk2tF4AaABAg,neutral,0.4641235470771789
UgyT3Zsbi2jSsaC751F4AaABAg,negative,0.5296469926834106
Ugxxng-UpgASgTtc3Z94AaABAg,negative,0.8575412034988403
Ugw74XvmqBhN4F_FJMh4AaABAg,neutral,0.7389277815818787
UgyB-6oI-2Aly_VI9z94AaABAg,positive,0.6017088294029236
Ugz4AtbxvkhEsI7M5cF4AaABAg,positive,0.5743387341499329
Ugw6Cfn8otEdEdrMzl94AaABAg,neutral,0.5143944025039673
UgyTNvZVzgADUkq8Yq54AaABAg,negative,0.6834642887115479
