video_id,match_id,title,description,channel_id,channel_name,published_at,period,views,likes,comment_count,url,search_query
1BYbVHNoG8E,2025-05-18-cru-cam,Cruzeiro X Atlético Mineiro Dublado! #dublagem #brasileirão #cruzeiro #atleticomineiro #atleticomg,,UCbJ0FUhM6roOzw6cM5eFPog,Gustavo Machado,2025-05-19T16:48:44Z,post_game,958366,37804,482,https://www.youtube.com/watch?v=1BYbVHNoG8E,"""Cruzeiro x Atlético-MG"" 18/05/2025"
fPgBnh1o0zg,2025-05-18-cru-cam,CRUZEIRO 0 x 0 ATLÉTICO-MG | MELHORES MOMENTOS | CAMPEONATO BRASILEIRO 2025,"No clássico mineiro que fechou a nona rodada do Brasileirão, Cruzeiro e Atlético-MG empataram sem gols diante de mais de 61 ...",UC6RD83p2Hlum9aURp3pASeQ,Prime Video Sport Brasil,2025-05-19T02:02:46Z,post_game,445909,5333,872,https://www.youtube.com/watch?v=fPgBnh1o0zg,"""Cruzeiro x Atlético-MG"" 18/05/2025"
7YCHHPwyDbU,2025-05-18-cru-cam,CRUZEIRO X ATLETICO AO VIVO COM IMAGEM - CRUZEIRO X ATLETICO AO VIVO - CAMPEONATO BRASILEIRO 2025,Cruzeiro x Atlético MG ao vivo. Transmissão ao vivo direto do MINEIRÃO pelo BRASILEIRÃO 2025. Time provável: Cássio ...,UCbqEUQTg0a3gR3X_nninkKQ,Canal 7sports,2025-05-19T02:05:18Z,post_game,749379,4916,4,https://www.youtube.com/watch?v=7YCHHPwyDbU,"""Cruzeiro x Atlético-MG"" Campeonato Brasileiro"
t7WvX-jqjkk,2025-05-18-cru-cam,MELHORES MOMENTOS: CRUZEIRO 0 X 0 ATLÉTICO-MG | BRASILEIRÃO 2025 | 9ª RODADA,"Na CazéTV, você acompanha tudo sobre o Paulistão, Europa League, Conference League, Brasileirão, NFL, Bundesliga, Ligue 1 ...",UCZiYbVptd3PVPf4f6eR6UaQ,CazéTV,2025-05-19T15:56:48Z,post_game,317597,3490,173,https://www.youtube.com/watch?v=t7WvX-jqjkk,"""Cruzeiro x Atlético-MG"" Campeonato Brasileiro"
9APmckpdOjE,2025-05-18-cru-cam,CRUZEIRO X ATLÉTICO-MG AO VIVO DO MINEIRÃO - 9ª RODADA DO CAMPEONATO BRASILEIRO 2025,"Cruzeiro #AlbertoRodrigues #SamucaTV O Cruzeiro recebe o Atlético-MG, às 20h30, no Mineirão, pela nona rodada da Série A ...",UC6pQ2mcqn2t8nTxiwQePtiA,Samuca TV,2025-05-19T03:59:05Z,post_game,552030,21929,6,https://www.youtube.com/watch?v=9APmckpdOjE,"""Cruzeiro x Atlético-MG"" Campeonato Brasileiro"
XKG9W6jyUTY,2025-02-09-cru-cam,CRUZEIRO 0 X 2 ATLETICO - GOLS E MELHORES MOMENTOS - CAMPEONATO MINEIRO 2025 - ASSISTA AGORA!,"aovivo #cruzeiroesporteclube #atleticomg Gol de Hulk no Cruzeiro, ⚽   Veja onde assistir AO VIVO Cruzeiro 0 vs 2 Atletico mg ...",UC7o348w0PS8593rnIAHE1vg,Rodrigo Gamer 18,2025-02-08T16:00:06Z,pre_game,5712,18,2,https://www.youtube.com/watch?v=XKG9W6jyUTY,Atlético Cruzeiro pré jogo 09/02/2025
3Vob2iGYDHY,2025-02-09-cru-cam,CRUZEIRO 0 X 2 ATLETICO - GOLS E MELHORES MOMENTOS - CAMPEONATO MINEIRO 2025 - ASSISTA AGORA!,"aovivo #cruzeiroesporteclube #atleticomg Gol de Hulk no Cruzeiro, ⚽   Veja onde assistir AO VIVO Cruzeiro 0 vs 2 Atletico mg ...",UC7o348w0PS8593rnIAHE1vg,Rodrigo Gamer 18,2025-02-07T16:30:06Z,pre_game,5825,10,0,https://www.youtube.com/watch?v=3Vob2iGYDHY,Atlético Cruzeiro pré jogo 09/02/2025
UKBH8GGPIxg,2025-02-09-cru-cam,Cruzeiro 0 X 2 Atletico-mg Melhores Momentos,CRVG #Galo #AoVivo ATLÉTICO X CRUZEIRO TRANSMISSÃO AO VIVO DIRETO DA ARENA MRV - MINEIRO 2025 Acompanhe ...,UCf75mecnf8cRN2CGDe_ggdg,Família Novais Games ,2025-02-09T16:53:40Z,pre_game,5084,19,0,https://www.youtube.com/watch?v=UKBH8GGPIxg,"""Cruzeiro x Atlético-MG"" Campeonato Mineiro"
ciuA8BqF-C4,2025-02-09-cru-cam,CRUZEIRO 0 X 2 ATLETICO - GOLS E MELHORES MOMENTOS - CAMPEONATO MINEIRO 2025 - ASSISTA AGORA!,"aovivo #cruzeiroesporteclube #atleticomg Gol de Hulk no Cruzeiro, ⚽   Veja onde assistir AO VIVO Cruzeiro 0 vs 2 Atletico mg ...",UC7o348w0PS8593rnIAHE1vg,Rodrigo Gamer 18,2025-02-09T15:30:06Z,pre_game,4290,21,0,https://www.youtube.com/watch?v=ciuA8BqF-C4,Atlético Cruzeiro pré jogo 09/02/2025
-iTCNBaUO_E,2025-02-09-cru-cam,CRUZEIRO 0 X 2 ATLETICO - GOLS E MELHORES MOMENTOS - CAMPEONATO MINEIRO 2025 - ASSISTA AGORA!,"aovivo #cruzeiroesporteclube #atleticomg Gol de Hulk no Cruzeiro, ⚽   Veja onde assistir AO VIVO Cruzeiro 0 vs 2 Atletico mg ...",UC7o348w0PS8593rnIAHE1vg,Rodrigo Gamer 18,2025-02-06T19:30:06Z,pre_game,2174,10,0,https://www.youtube.com/watch?v=-iTCNBaUO_E,Atlético Cruzeiro pré jogo 09/02/2025
JH3T4ofK3eI,2025-02-09-cru-cam,CRUZEIRO 0 X 2 ATLÉTICO-MG | MELHORES MOMENTOS | 7ª RODADA CAMPEONATO MINEIRO 2025 | gr.globo,"Com dois gols de Hulk, o Atlético vence o Cruzeiro. Confira os melhores momentos completos com mais replays em ge.globo: ...",UCgCKagVhzGnZcuP9bSMgMCg,ge tv,2025-02-09T21:12:12Z,post_game,1493220,34889,3214,https://www.youtube.com/watch?v=JH3T4ofK3eI,"""Cruzeiro x Atlético-MG"" 09/02/2025"
0z4h7ceTOCU,2025-02-09-cru-cam,Cruzeiro X Atlético Mineiro ⚽️🔥 #dublagem #futebol #cruzeiro #atletico #atleticomineiro #mineirão,,UCbJ0FUhM6roOzw6cM5eFPog,Gustavo Machado,2025-02-09T23:40:18Z,post_game,1249450,86811,1072,https://www.youtube.com/watch?v=0z4h7ceTOCU,"""Cruzeiro x Atlético-MG"" 09/02/2025"
iqyQOa9oprU,2025-02-09-cru-cam,CRUZEIRO X ATLETICO AO VIVO COM IMAGEM  - CRUZEIRO X ATLETICO AO VIVO - CAMPEONATO MINEIRO 2025,Cruzeiro x Atletico - mg ao vivo. Transmissão ao vivo direto do Mineirão pelo CAMPEONATO MINEIRO 2025. seja membro do ...,UCbqEUQTg0a3gR3X_nninkKQ,Canal 7sports,2025-02-09T22:16:08Z,post_game,770567,4469,25,https://www.youtube.com/watch?v=iqyQOa9oprU,"""Cruzeiro x Atlético-MG"" Campeonato Mineiro"
FE8316p96cQ,2025-02-09-cru-cam,CRUZEIRO X ATLÉTICO-MG AO VIVO DO MINEIRÃO - 7ª RODADA DO CAMPEONATO MINEIRO 2025,"Cruzeiro #SamucaTV #AlbertoRodrigues O Cruzeiro enfrenta o Atlético-MG, às 16h, no Mineirão, pela sétima rodada do ...",UC6pQ2mcqn2t8nTxiwQePtiA,Samuca TV,2025-02-09T23:34:57Z,post_game,610703,18859,81,https://www.youtube.com/watch?v=FE8316p96cQ,"""Cruzeiro x Atlético-MG"" Campeonato Mineiro"
JSvLAZ_eWTs,2025-02-09-cru-cam,VITÓRIA DO GALO EM PLENO MINEIRÃO LOTADO DE CRUZEIRENSES/ Cruzeiro 0 x 2 Atlético-MG,Fui no jogo Cruzeiro 0 x 2 Atlético-MG pelo Campeonato Mineiro 2025 no Mineirão com vitória do Galo com dois gols de Hulk e ...,UCZHCaC9ZsDjMMQ4w7V8H3Ig,Futebol pelo Mundo,2025-02-10T13:50:08Z,post_game,199723,17049,1439,https://www.youtube.com/watch?v=JSvLAZ_eWTs,"""Cruzeiro x Atlético-MG"" Campeonato Mineiro"
